lon	lat	T	LDEO ClimateGroup PROJECTS IPCC CMIP5 pdsi-spei pdsi CCSM4 r1i1p1 pdsi-all
degree_east	degree_north	months since 1900-01-01	unitless
   -122.5000    	    39.10995    	    1842.500    	   -2.199287    
   -121.2500    	    39.10995    	    1842.500    	   -1.855663    
   -120.0000    	    39.10995    	    1842.500    	   -1.475236    
   -122.5000    	    40.05236    	    1842.500    	   -2.068534    
   -121.2500    	    40.05236    	    1842.500    	   -1.545219    
   -120.0000    	    40.05236    	    1842.500    	   -1.281928    
   -122.5000    	    40.99477    	    1842.500    	  -0.8086419    
   -121.2500    	    40.99477    	    1842.500    	   0.4456668    
   -120.0000    	    40.99477    	    1842.500    	   0.4229186    
   -122.5000    	    41.93717    	    1842.500    	   0.7939994    
   -121.2500    	    41.93717    	    1842.500    	    1.757571    
   -120.0000    	    41.93717    	    1842.500    	    2.013413    
   -122.5000    	    42.87958    	    1842.500    	    1.461227    
   -121.2500    	    42.87958    	    1842.500    	    2.505136    
   -120.0000    	    42.87958    	    1842.500    	    2.904690    
   -122.5000    	    37.22513    	    1843.500    	   -2.171473    
   -121.2500    	    37.22513    	    1843.500    	   -2.245173    
   -120.0000    	    37.22513    	    1843.500    	   -1.704653    
   -122.5000    	    38.16754    	    1843.500    	   -2.126861    
   -121.2500    	    38.16754    	    1843.500    	   -1.662606    
   -120.0000    	    38.16754    	    1843.500    	   -2.009490    
   -122.5000    	    39.10995    	    1843.500    	   -1.996540    
   -121.2500    	    39.10995    	    1843.500    	   -1.751884    
   -120.0000    	    39.10995    	    1843.500    	   -1.511411    
   -122.5000    	    40.05236    	    1843.500    	   -1.931249    
   -121.2500    	    40.05236    	    1843.500    	   -1.525903    
   -120.0000    	    40.05236    	    1843.500    	   -1.350298    
   -122.5000    	    40.99477    	    1843.500    	  -0.6900340    
   -121.2500    	    40.99477    	    1843.500    	   0.2739587    
   -120.0000    	    40.99477    	    1843.500    	  -0.2432114    
   -122.5000    	    41.93717    	    1843.500    	   0.6492094    
   -121.2500    	    41.93717    	    1843.500    	    1.760493    
   -120.0000    	    41.93717    	    1843.500    	    1.696059    
   -122.5000    	    42.87958    	    1843.500    	    1.356361    
   -121.2500    	    42.87958    	    1843.500    	    2.927172    
   -120.0000    	    42.87958    	    1843.500    	    3.517773    
   -122.5000    	    37.22513    	    1853.500    	   -3.575952    
   -121.2500    	    37.22513    	    1853.500    	   -2.549291    
   -120.0000    	    37.22513    	    1853.500    	   -2.306185    
   -122.5000    	    38.16754    	    1853.500    	   -2.965839    
   -121.2500    	    38.16754    	    1853.500    	   -2.065688    
   -120.0000    	    38.16754    	    1853.500    	   -1.554662    
   -122.5000    	    39.10995    	    1853.500    	   -2.133911    
   -121.2500    	    39.10995    	    1853.500    	   -1.649942    
   -120.0000    	    39.10995    	    1853.500    	  -0.4266304    
   -122.5000    	    40.05236    	    1853.500    	   -1.977215    
   -121.2500    	    40.05236    	    1853.500    	  -0.7428333    
   -120.0000    	    40.05236    	    1853.500    	   0.2429101    
   -122.5000    	    40.99477    	    1853.500    	  -0.6421511    
   -121.2500    	    40.99477    	    1853.500    	  -0.3312200    
   -120.0000    	    40.99477    	    1853.500    	   0.4851785    
   -122.5000    	    41.93717    	    1853.500    	  -0.2596874    
   -121.2500    	    41.93717    	    1853.500    	    1.044899    
   -120.0000    	    41.93717    	    1853.500    	   0.7272297    
   -122.5000    	    42.87958    	    1853.500    	    1.461070    
   -121.2500    	    42.87958    	    1853.500    	    2.340614    
   -120.0000    	    42.87958    	    1853.500    	    1.599085    
   -122.5000    	    37.22513    	    1854.500    	   -3.286217    
   -121.2500    	    37.22513    	    1854.500    	   -2.410480    
   -120.0000    	    37.22513    	    1854.500    	   -2.183822    
   -122.5000    	    38.16754    	    1854.500    	   -2.780156    
   -121.2500    	    38.16754    	    1854.500    	   -2.019785    
   -120.0000    	    38.16754    	    1854.500    	  -3.0017247E-02
   -122.5000    	    39.10995    	    1854.500    	   -2.042528    
   -121.2500    	    39.10995    	    1854.500    	   -1.690624    
   -120.0000    	    39.10995    	    1854.500    	  -0.3823583    
   -122.5000    	    40.05236    	    1854.500    	   -2.109899    
   -121.2500    	    40.05236    	    1854.500    	  -0.8520175    
   -120.0000    	    40.05236    	    1854.500    	   0.2555085    
   -122.5000    	    40.99477    	    1854.500    	  -0.9187998    
   -121.2500    	    40.99477    	    1854.500    	  -0.4156799    
   -120.0000    	    40.99477    	    1854.500    	   0.4088923    
   -122.5000    	    41.93717    	    1854.500    	  -0.5508490    
   -121.2500    	    41.93717    	    1854.500    	   0.9965362    
   -120.0000    	    41.93717    	    1854.500    	   0.7244028    
   -122.5000    	    42.87958    	    1854.500    	  -0.1586843    
   -121.2500    	    42.87958    	    1854.500    	    2.161032    
   -120.0000    	    42.87958    	    1854.500    	    1.218769    
   -122.5000    	    37.22513    	    1855.500    	   -2.982852    
   -121.2500    	    37.22513    	    1855.500    	   -2.226621    
   -120.0000    	    37.22513    	    1855.500    	   1.4661210E-02
   -122.5000    	    38.16754    	    1855.500    	   -2.524748    
   -121.2500    	    38.16754    	    1855.500    	   -1.761400    
   -120.0000    	    38.16754    	    1855.500    	   0.2068796    
   -122.5000    	    39.10995    	    1855.500    	   -1.850947    
   -121.2500    	    39.10995    	    1855.500    	   -1.395728    
   -120.0000    	    39.10995    	    1855.500    	   0.2627889    
   -122.5000    	    40.05236    	    1855.500    	   -1.792228    
   -121.2500    	    40.05236    	    1855.500    	  -0.5830512    
   -120.0000    	    40.05236    	    1855.500    	   0.2168609    
   -122.5000    	    40.99477    	    1855.500    	  -0.6078565    
   -121.2500    	    40.99477    	    1855.500    	   0.3764278    
   -120.0000    	    40.99477    	    1855.500    	   0.5623331    
   -122.5000    	    41.93717    	    1855.500    	  -0.2882054    
   -121.2500    	    41.93717    	    1855.500    	    1.261989    
   -120.0000    	    41.93717    	    1855.500    	    1.044373    
   -122.5000    	    42.87958    	    1855.500    	  -9.6325688E-02
   -121.2500    	    42.87958    	    1855.500    	    2.136850    
   -120.0000    	    42.87958    	    1855.500    	    1.298817    
   -122.5000    	    37.22513    	    1865.500    	   -1.993010    
   -121.2500    	    37.22513    	    1865.500    	  -0.7052386    
   -120.0000    	    37.22513    	    1865.500    	   0.0000000E+00
   -122.5000    	    38.16754    	    1865.500    	   -1.896129    
   -121.2500    	    38.16754    	    1865.500    	   -1.021695    
   -120.0000    	    38.16754    	    1865.500    	  -0.4125025    
   -122.5000    	    39.10995    	    1865.500    	   0.1832681    
   -121.2500    	    39.10995    	    1865.500    	   0.7276806    
   -120.0000    	    39.10995    	    1865.500    	  -0.4415684    
   -122.5000    	    40.05236    	    1865.500    	  -0.1789689    
   -121.2500    	    40.05236    	    1865.500    	  -0.2705781    
