lon	lat	T	LDEO ClimateGroup PROJECTS IPCC CMIP5 pdsi-spei pdsi GFDL_ESM2M pdsi-all
degree_east	degree_north	months since 1900-01-01	unitless
   -118.7500    	    39.43820    	    1458.500    	   0.1765866    
   -121.2500    	    41.46067    	    1458.500    	   -3.292404    
   -118.7500    	    41.46067    	    1458.500    	   -4.282221    
   -121.2500    	    43.48315    	    1458.500    	   -4.702345    
   -118.7500    	    43.48315    	    1458.500    	   -5.128627    
   -121.2500    	    35.39326    	    1459.500    	  -0.1347176    
   -118.7500    	    35.39326    	    1459.500    	  -0.1252309    
   -121.2500    	    37.41573    	    1459.500    	   0.8485215    
   -118.7500    	    37.41573    	    1459.500    	   0.3585651    
   -121.2500    	    39.43820    	    1459.500    	   0.1664389    
   -118.7500    	    39.43820    	    1459.500    	   0.4851966    
   -121.2500    	    41.46067    	    1459.500    	   -2.985835    
   -118.7500    	    41.46067    	    1459.500    	   -3.739044    
   -121.2500    	    43.48315    	    1459.500    	   -4.389187    
   -118.7500    	    43.48315    	    1459.500    	   -5.021505    
   -121.2500    	    35.39326    	    1469.500    	    1.897446    
   -118.7500    	    35.39326    	    1469.500    	   -1.114142    
   -121.2500    	    37.41573    	    1469.500    	    1.583197    
   -118.7500    	    37.41573    	    1469.500    	  -0.7825773    
   -121.2500    	    39.43820    	    1469.500    	  -0.5711380    
   -118.7500    	    39.43820    	    1469.500    	  -0.3857337    
   -121.2500    	    41.46067    	    1469.500    	    1.457763    
   -118.7500    	    41.46067    	    1469.500    	    1.562321    
   -121.2500    	    43.48315    	    1469.500    	  -0.8412666    
   -118.7500    	    43.48315    	    1469.500    	   0.9696255    
   -121.2500    	    35.39326    	    1470.500    	    1.717748    
   -118.7500    	    35.39326    	    1470.500    	   -1.110845    
   -121.2500    	    37.41573    	    1470.500    	    1.305439    
   -118.7500    	    37.41573    	    1470.500    	  -0.8805934    
   -121.2500    	    39.43820    	    1470.500    	   0.4695002    
   -118.7500    	    39.43820    	    1470.500    	  -0.1936767    
   -121.2500    	    41.46067    	    1470.500    	    1.851697    
   -118.7500    	    41.46067    	    1470.500    	    1.996330    
   -121.2500    	    43.48315    	    1470.500    	   -1.000459    
   -118.7500    	    43.48315    	    1470.500    	    1.410988    
   -121.2500    	    35.39326    	    1471.500    	    1.451371    
   -118.7500    	    35.39326    	    1471.500    	   -1.177218    
   -121.2500    	    37.41573    	    1471.500    	    1.045495    
   -118.7500    	    37.41573    	    1471.500    	   -1.056033    
   -121.2500    	    39.43820    	    1471.500    	  -0.2864907    
